backtest,horizonte,rmse
A,1,2.052366256713867
A,2,2.2297003269195557
A,3,1.7751352787017822
A,4,2.0888915061950684
A,5,2.037722587585449
A,6,1.6793737411499023
A,7,1.6039599180221558
A,8,1.3725996017456055
A,9,1.3504862785339355
A,10,1.7041279077529907
A,11,1.877256155014038
A,12,2.4837453365325928
A,13,1.7963758707046509
A,14,1.959739089012146
A,15,2.562246322631836
A,16,1.852640151977539
A,17,1.8118685483932495
A,18,1.8475548028945923
A,19,1.5782777070999146
A,20,1.2074004411697388
A,21,1.4759160280227661
A,22,1.7134181261062622
A,23,2.7457175254821777
A,24,1.7779643535614014
B,1,1.79511296749115
B,2,1.9498251676559448
B,3,2.5552115440368652
B,4,1.850145697593689
B,5,1.8070034980773926
B,6,1.8467453718185425
B,7,1.5769728422164917
B,8,1.205724835395813
B,9,1.4740817546844482
B,10,1.7079277038574219
B,11,2.7442269325256348
B,12,1.766025424003601
