horizonte,b00,b01,vencedor
1,2.052366256713867,2.770597219467163,B00
2,2.2297003269195557,3.8316564559936523,B00
3,1.7751352787017822,3.8555853366851807,B00
4,2.0888915061950684,4.051253318786621,B00
5,2.037722587585449,4.44371223449707,B00
6,1.6793737411499023,3.575745105743408,B00
7,1.6039599180221558,3.9216253757476807,B00
8,1.3725996017456057,4.145148754119873,B00
9,1.3504862785339355,3.472097158432007,B00
10,1.7041279077529907,2.8415982723236084,B00
11,1.877256155014038,2.70365309715271,B00
12,2.4837453365325928,3.203555107116699,B00
13,1.7963758707046509,3.0929112434387207,B00
14,1.959739089012146,3.305051326751709,B00
15,2.562246322631836,4.975589752197266,B00
16,1.852640151977539,4.361775875091553,B00
17,1.8118685483932495,4.399337291717529,B00
18,1.8475548028945925,4.089993476867676,B00
19,1.5782777070999146,4.210107326507568,B00
20,1.2074004411697388,3.849457025527954,B00
21,1.475916028022766,3.8184010982513428,B00
22,1.7134181261062622,3.232828378677368,B00
23,2.7457175254821777,3.653045177459717,B00
24,1.7779643535614014,2.7994132041931152,B00
