alpha,rmse_backtestA,rmse_backtestB,media_A_B
0.0,3.739106326885421,4.470076016873831,4.104591171879626
0.1,3.4609943341869984,4.11146542159671,3.7862298778918544
0.2,3.1921846670858005,3.7612231837784194,3.47670392543211
0.3,2.9352341688976225,3.421919837204134,3.1785770030508784
0.4,2.693538901470295,3.0971526464096204,2.8953457739399577
0.5,2.4715783441329036,2.7919987942198516,2.6317885691763774
0.6,2.275135758284095,2.513611669996014,2.3943737141400545
0.7,2.1113458826166784,2.2718524593395673,2.191599170978123
0.8,1.9882946621276005,2.07953532678009,2.0339149944538453
0.9,1.9138561599114692,1.9513339956290316,1.9325950777702503
1.0,1.8937715406564477,1.9002697594080675,1.8970206500322577
