backtest,horizonte,alpha,rmse
A,1,0.0,2.7705973314865706
A,2,0.0,3.8316564887004465
A,3,0.0,3.855585376598702
A,4,0.0,4.051253466377346
A,5,0.0,4.443712147328015
A,6,0.0,3.5757450496086385
A,7,0.0,3.9216253896009863
A,8,0.0,4.145148602543135
A,9,0.0,3.472097297010817
A,10,0.0,2.8415979742479074
A,11,0.0,2.7036531715205325
A,12,0.0,3.203555178715207
A,13,0.0,3.092911094187284
A,14,0.0,3.305051302966942
A,15,0.0,4.975590076146298
A,16,0.0,4.361775659231994
A,17,0.0,4.39933765872296
A,18,0.0,4.089993731997964
A,19,0.0,4.210107643523643
A,20,0.0,3.849457184703296
A,21,0.0,3.8184012723327174
A,22,0.0,3.2328285216426704
A,23,0.0,3.653045114380608
A,24,0.0,2.799413059336567
B,1,0.0,3.0932136879306076
B,2,0.0,3.2586536599938634
B,3,0.0,5.121381879504364
B,4,0.0,4.759532475018109
B,5,0.0,4.922437324955127
B,6,0.0,5.059935137376219
B,7,0.0,5.385587495369356
B,8,0.0,5.196267988292476
B,9,0.0,4.99553283589053
B,10,0.0,4.485194381367014
B,11,0.0,3.7434829213034204
B,12,0.0,2.405283975731795
A,1,0.1,2.5596245389819114
A,2,0.1,3.555396588383839
A,3,0.1,3.5359477445430865
A,4,0.1,3.7368561685747026
A,5,0.1,4.125980897460148
A,6,0.1,3.2595222465147744
A,7,0.1,3.5916460391896132
A,8,0.1,3.803368075556897
A,9,0.1,3.17144505135237
A,10,0.1,2.6139924909753485
A,11,0.1,2.542882101936827
A,12,0.1,3.075365421547832
A,13,0.1,2.855530470791935
A,14,0.1,3.0241265927719376
A,15,0.1,4.66328090362392
A,16,0.1,4.027674736488327
A,17,0.1,4.072297695235381
A,18,0.1,3.772490952282768
A,19,0.1,3.873373615622721
A,20,0.1,3.5064860820059707
A,21,0.1,3.516499819981693
A,22,0.1,2.995827556510434
A,23,0.1,3.5070265350570553
A,24,0.1,2.640765418207961
B,1,0.1,2.8499446446217718
B,2,0.1,2.971949912019791
B,3,0.1,4.799898316586522
B,4,0.1,4.3924071446864295
B,5,0.1,4.530665415642098
B,6,0.1,4.6306782618960005
B,7,0.1,4.921664671375439
B,8,0.1,4.715823028903078
B,9,0.1,4.556408876378271
B,10,0.1,4.1115476637319786
B,11,0.1,3.533877069008241
B,12,0.1,2.230916043863967
A,1,0.2,2.3664454557901395
A,2,0.2,3.2920843235372925
A,3,0.2,3.225681088264775
A,4,0.2,3.433933354408817
A,5,0.2,3.8156781478644586
A,6,0.2,2.9532837558956984
A,7,0.2,3.269105022251762
A,8,0.2,3.465934144461279
A,9,0.2,2.8770060177305967
A,10,0.2,2.3983890229027773
A,11,0.2,2.39292189807478
A,12,0.2,2.9564965034504267
A,13,0.2,2.629624994186284
A,14,0.2,2.7577237030338413
A,15,0.2,4.358966063358792
A,16,0.2,3.7007574287637635
A,17,0.2,3.7512112504855786
A,18,0.2,3.4632635322650085
A,19,0.2,3.542229631682588
A,20,0.2,3.1680132045678784
A,21,0.2,3.2199145221237555
A,22,0.2,2.7676381109219386
