mes,b00_RMSE,censo_RMSE,oni_RMSE
1,1.886320105567825,1.879315947481238,1.8811114946571363
2,2.0168624368163774,2.039328986637863,2.0094922450271473
3,2.007816889312357,2.0227477209731286,1.9947497896727737
4,1.9450286529649918,2.0721360307053875,1.8977103046189603
5,2.0527460666606285,2.127611233237167,2.0131559225048252
6,1.7690630435152348,1.8147665692588,1.783682229627486
7,1.701651080380502,1.6959268105855616,1.6598290579419237
8,1.462914485967647,1.4820079036203953,1.4410543333427495
9,1.4871182706477186,1.4709171044607627,1.509674325627005
10,1.7201965995752326,1.7080701586592826,1.727880866288286
11,2.1675927068661167,2.111894742567306,2.1013416057017875
12,2.109013355670319,2.1048797618842525,2.056451271480935
