fold,mes,regime,n_anos
F1,1,ElNino,23
F1,1,Neutral,23
F1,1,LaNina,20
F1,2,ElNino,24
F1,2,Neutral,22
F1,2,LaNina,20
F1,3,ElNino,22
F1,3,Neutral,22
F1,3,LaNina,23
F1,4,ElNino,19
F1,4,Neutral,29
F1,4,LaNina,19
F1,5,ElNino,12
F1,5,Neutral,37
F1,5,LaNina,18
F1,6,ElNino,11
F1,6,Neutral,44
F1,6,LaNina,12
F1,7,ElNino,12
F1,7,Neutral,40
F1,7,LaNina,15
F1,8,ElNino,13
F1,8,Neutral,40
F1,8,LaNina,14
F1,9,ElNino,13
F1,9,Neutral,41
F1,9,LaNina,13
F1,10,ElNino,14
F1,10,Neutral,37
F1,10,LaNina,16
F1,11,ElNino,18
F1,11,Neutral,34
F1,11,LaNina,15
F1,12,ElNino,22
F1,12,Neutral,25
F1,12,LaNina,20
F2,1,ElNino,23
F2,1,Neutral,24
F2,1,LaNina,21
F2,2,ElNino,24
F2,2,Neutral,23
F2,2,LaNina,21
F2,3,ElNino,22
F2,3,Neutral,23
F2,3,LaNina,24
F2,4,ElNino,19
F2,4,Neutral,30
F2,4,LaNina,20
F2,5,ElNino,12
F2,5,Neutral,38
F2,5,LaNina,19
F2,6,ElNino,11
F2,6,Neutral,46
F2,6,LaNina,12
F2,7,ElNino,12
F2,7,Neutral,42
F2,7,LaNina,15
F2,8,ElNino,13
F2,8,Neutral,42
F2,8,LaNina,14
F2,9,ElNino,13
F2,9,Neutral,43
F2,9,LaNina,13
F2,10,ElNino,14
F2,10,Neutral,39
F2,10,LaNina,16
F2,11,ElNino,19
F2,11,Neutral,35
F2,11,LaNina,15
F2,12,ElNino,23
F2,12,Neutral,26
F2,12,LaNina,20
F3,1,ElNino,25
F3,1,Neutral,24
F3,1,LaNina,21
F3,2,ElNino,26
F3,2,Neutral,23
F3,2,LaNina,21
F3,3,ElNino,24
F3,3,Neutral,23
F3,3,LaNina,24
F3,4,ElNino,21
F3,4,Neutral,30
F3,4,LaNina,20
F3,5,ElNino,14
F3,5,Neutral,38
F3,5,LaNina,19
F3,6,ElNino,12
F3,6,Neutral,47
F3,6,LaNina,12
F3,7,ElNino,13
F3,7,Neutral,43
F3,7,LaNina,15
F3,8,ElNino,14
F3,8,Neutral,43
F3,8,LaNina,14
F3,9,ElNino,13
F3,9,Neutral,45
F3,9,LaNina,13
F3,10,ElNino,14
F3,10,Neutral,41
F3,10,LaNina,16
F3,11,ElNino,19
F3,11,Neutral,36
F3,11,LaNina,16
F3,12,ElNino,24
F3,12,Neutral,26
F3,12,LaNina,21
