horizonte,rmse,n,backtest
1,2.1139535493974937,78561,A
2,2.21861969803925,78561,A
3,1.763838356117503,78561,A
4,2.131086077830386,78561,A
5,2.1204726965435823,78561,A
6,1.6463893019697766,78561,A
7,1.5543971724936672,78561,A
8,1.412672651222116,78561,A
9,1.4003615703073942,78561,A
10,1.688939861077285,78561,A
11,1.8809094496485228,78561,A
12,2.429916175195602,78561,A
13,1.8272306348808987,78561,A
14,1.959299390127764,78561,A
15,2.7038771152988916,78561,A
16,1.8520349739348085,78561,A
17,1.8893126620797567,78561,A
18,1.8606681765806259,78561,A
19,1.5114872615805803,78561,A
20,1.1844271844437133,78561,A
21,1.5397500242746935,78561,A
22,1.6659920427576531,78561,A
23,2.68470562220684,78561,A
24,1.718529661309316,78561,A
1,1.7486233076727438,78561,B
2,1.9171634643593516,78561,B
3,2.6785502222249074,78561,B
4,1.9311746071726619,78561,B
5,1.7286175129506254,78561,B
6,1.853608175635636,78561,B
7,1.5418658025082828,78561,B
8,1.1661957992742022,78561,B
9,1.4948519512669354,78561,B
10,1.6510522447364926,78561,B
11,2.671238687770956,78561,B
12,1.7099008952191406,78561,B
