,backtest_A,backtest_B
cloud_cover,284,311
cloud_cover_media_3x3,373,403
geopotential_850,536,532
geopotential_850_media_3x3,578,616
lat,698,669
lon,666,609
month_cos,554,457
month_sin,511,473
rel_hum_850,146,170
rel_hum_850_media_3x3,205,207
shum_850,281,287
shum_850_media_3x3,346,313
surface_pressure,213,199
surface_pressure_media_3x3,336,412
t2,255,223
t2_media_3x3,265,309
temperature_850,340,386
temperature_850_media_3x3,330,364
tp_climatologia,665,662
u_850,396,367
u_850_media_3x3,313,364
v_850,302,320
v_850_media_3x3,407,347
