horizonte,rmse,n,backtest
1,2.218900662648317,78561,A
2,2.2296650791263506,78561,A
3,1.7613697120110363,78561,A
4,2.130059243584821,78561,A
5,2.1386505613514566,78561,A
6,1.6735202019755286,78561,A
7,1.5462850417829537,78561,A
8,1.4220835105117604,78561,A
9,1.3741529787208087,78561,A
10,1.7018299182457004,78561,A
11,1.8668541304168982,78561,A
12,2.412279438006294,78561,A
13,1.9019418149082374,78561,A
14,1.996696914806383,78561,A
15,2.7638579502456224,78561,A
16,1.862984132936033,78561,A
17,1.8938171622345872,78561,A
18,1.8428267425812168,78561,A
19,1.5138420431932627,78561,A
20,1.1924229064684762,78561,A
21,1.5272755529491218,78561,A
22,1.6758227142201783,78561,A
23,2.6725600418750086,78561,A
24,1.7024083009044686,78561,A
1,1.7800210203695865,78561,B
2,1.9265417445440174,78561,B
3,2.6965808338767627,78561,B
4,1.9385768028446344,78561,B
5,1.7625632875469286,78561,B
6,1.883893737971032,78561,B
7,1.538250473315833,78561,B
8,1.177062341930866,78561,B
9,1.4960520829523962,78561,B
10,1.6568407280730197,78561,B
11,2.6629662043384235,78561,B
12,1.7236505059719118,78561,B
