,backtest_A,backtest_B
cloud_cover,126,146
cloud_cover_anomalia,170,201
geopotential_850,191,209
geopotential_850_anomalia,335,305
lat,223,244
lon,235,206
month_cos,218,198
month_sin,250,176
rel_hum_850,86,128
rel_hum_850_anomalia,54,79
shum_850,188,177
shum_850_anomalia,225,178
surface_pressure,137,112
surface_pressure_anomalia,186,206
t2,101,157
t2_anomalia,137,130
temperature_850,142,149
temperature_850_anomalia,173,182
tp_climatologia,340,394
u_850,175,146
u_850_anomalia,186,197
v_850,143,91
v_850_anomalia,179,189
