horizonte,rmse,n,backtest
1,2.189478887985023,78561,A
2,2.2679519482161314,78561,A
3,1.771921928462939,78561,A
4,2.021742309415411,78561,A
5,2.0219145091050406,78561,A
6,1.6574465047982727,78561,A
7,1.56519531690741,78561,A
8,1.3884954064632569,78561,A
9,1.415017311137226,78561,A
10,1.6141556960159569,78561,A
11,1.797067502888323,78561,A
12,2.394425500754623,78561,A
13,1.7671563513859805,78561,A
14,1.9767857775992248,78561,A
15,2.8122623149961115,78561,A
16,1.8486477344151593,78561,A
17,1.7813643817883515,78561,A
18,1.8664826954481308,78561,A
19,1.543341890715136,78561,A
20,1.192992008778882,78561,A
21,1.5426256739939985,78561,A
22,1.6768361425963607,78561,A
23,2.6220421421985916,78561,A
24,1.7088062625518046,78561,A
1,1.789546059445482,78561,B
2,1.9272202056419647,78561,B
3,2.673347791104577,78561,B
4,1.9235287423042233,78561,B
5,1.7763302525849514,78561,B
6,1.8415121912529588,78561,B
7,1.537527697299691,78561,B
8,1.1778469048575027,78561,B
9,1.5314861868827003,78561,B
10,1.649901797651823,78561,B
11,2.653029853598021,78561,B
12,1.7815161960071868,78561,B
