seas,yr,anom,mes1,mes2,mes3,disponibilidade_conservadora,data_indexada_antiga_por_centro
DJF,1950,-1.32,1949-12-01,1950-01-01,1950-02-01,1950-02-01,1950-01-01
JFM,1950,-1.2,1950-01-01,1950-02-01,1950-03-01,1950-03-01,1950-02-01
FMA,1950,-1.12,1950-02-01,1950-03-01,1950-04-01,1950-04-01,1950-03-01
MAM,1950,-1.08,1950-03-01,1950-04-01,1950-05-01,1950-05-01,1950-04-01
AMJ,1950,-1.1,1950-04-01,1950-05-01,1950-06-01,1950-06-01,1950-05-01
MJJ,1950,-0.9,1950-05-01,1950-06-01,1950-07-01,1950-07-01,1950-06-01
JJA,1950,-0.62,1950-06-01,1950-07-01,1950-08-01,1950-08-01,1950-07-01
JAS,1950,-0.57,1950-07-01,1950-08-01,1950-09-01,1950-09-01,1950-08-01
ASO,1950,-0.56,1950-08-01,1950-09-01,1950-10-01,1950-10-01,1950-09-01
SON,1950,-0.62,1950-09-01,1950-10-01,1950-11-01,1950-11-01,1950-10-01
OND,1950,-0.66,1950-10-01,1950-11-01,1950-12-01,1950-12-01,1950-11-01
NDJ,1950,-0.79,1950-11-01,1950-12-01,1951-01-01,1951-01-01,1950-12-01
DJF,1951,-0.66,1950-12-01,1951-01-01,1951-02-01,1951-02-01,1951-01-01
JFM,1951,-0.36,1951-01-01,1951-02-01,1951-03-01,1951-03-01,1951-02-01
FMA,1951,-0.04,1951-02-01,1951-03-01,1951-04-01,1951-04-01,1951-03-01
MAM,1951,0.16,1951-03-01,1951-04-01,1951-05-01,1951-05-01,1951-04-01
AMJ,1951,0.27,1951-04-01,1951-05-01,1951-06-01,1951-06-01,1951-05-01
MJJ,1951,0.5,1951-05-01,1951-06-01,1951-07-01,1951-07-01,1951-06-01
JJA,1951,0.71,1951-06-01,1951-07-01,1951-08-01,1951-08-01,1951-07-01
JAS,1951,0.9,1951-07-01,1951-08-01,1951-09-01,1951-09-01,1951-08-01
ASO,1951,1.02,1951-08-01,1951-09-01,1951-10-01,1951-10-01,1951-09-01
SON,1951,1.03,1951-09-01,1951-10-01,1951-11-01,1951-11-01,1951-10-01
OND,1951,0.96,1951-10-01,1951-11-01,1951-12-01,1951-12-01,1951-11-01
NDJ,1951,0.71,1951-11-01,1951-12-01,1952-01-01,1952-01-01,1951-12-01
DJF,1952,0.52,1951-12-01,1952-01-01,1952-02-01,1952-02-01,1952-01-01
JFM,1952,0.27,1952-01-01,1952-02-01,1952-03-01,1952-03-01,1952-02-01
FMA,1952,0.33,1952-02-01,1952-03-01,1952-04-01,1952-04-01,1952-03-01
MAM,1952,0.18,1952-03-01,1952-04-01,1952-05-01,1952-05-01,1952-04-01
AMJ,1952,-0.07,1952-04-01,1952-05-01,1952-06-01,1952-06-01,1952-05-01
MJJ,1952,-0.44,1952-05-01,1952-06-01,1952-07-01,1952-07-01,1952-06-01
JJA,1952,-0.45,1952-06-01,1952-07-01,1952-08-01,1952-08-01,1952-07-01
JAS,1952,-0.2,1952-07-01,1952-08-01,1952-09-01,1952-09-01,1952-08-01
ASO,1952,0.03,1952-08-01,1952-09-01,1952-10-01,1952-10-01,1952-09-01
SON,1952,0.04,1952-09-01,1952-10-01,1952-11-01,1952-11-01,1952-10-01
OND,1952,-0.11,1952-10-01,1952-11-01,1952-12-01,1952-12-01,1952-11-01
NDJ,1952,0.06,1952-11-01,1952-12-01,1953-01-01,1953-01-01,1952-12-01
DJF,1953,0.25,1952-12-01,1953-01-01,1953-02-01,1953-02-01,1953-01-01
JFM,1953,0.5,1953-01-01,1953-02-01,1953-03-01,1953-03-01,1953-02-01
FMA,1953,0.48,1953-02-01,1953-03-01,1953-04-01,1953-04-01,1953-03-01
MAM,1953,0.56,1953-03-01,1953-04-01,1953-05-01,1953-05-01,1953-04-01
AMJ,1953,0.77,1953-04-01,1953-05-01,1953-06-01,1953-06-01,1953-05-01
