mes,N,B00_RMSE,M05_RMSE,delta
1,471366,1.886320105567825,1.9100508562276628,0.023730750659837874
2,471366,2.0168624368163774,2.036810730501688,0.019948293685310592
3,471366,2.007816889312357,2.047462715851537,0.03964582653917992
4,471366,1.9450286529649918,1.9461808166820778,0.00115216371708593
5,471366,2.0527460666606285,2.0178060994259006,-0.03493996723472792
6,471366,1.7690630435152348,1.808571389067887,0.03950834555265215
7,471366,1.701651080380502,1.6640991716751954,-0.03755190870530667
8,471366,1.462914485967647,1.4486984036836954,-0.014216082283951659
9,471366,1.4871182706477186,1.5048486307923246,0.01773036014460594
10,471366,1.7201965995752326,1.7248420636016666,0.004645464026433954
11,471366,2.1675927068661167,2.109445937794807,-0.058146769071309556
12,471366,2.109013355670319,2.066331878377442,-0.04268147729287719
